model_id|gender|race|age|clothing|profession|character traits and behavior|speaker_id
1|Male|White|Old|Worn, red and black plaid flannel shirt over a grey V-neck t-shirt, dark green cargo pants with rips at the knees, and scuffed brown canvas sneakers. The overall appearance suggests a neglected, practical style typical of the early 90s.|The Truth|Displays a detached, observant demeanor, exhibiting signs of weariness and a possible history of street life. This individual appears to be a low-level informant, likely involved in gathering information for criminal elements. Note: This character’s role is ‘The Truth’.|3
2|Male|White|Young|Beige nylon windbreaker jacket with horizontal white stripes, dark wash denim jeans, and tan suede sneakers. The jacket features a white crew neck shirt underneath.|Maccer|This individual presents a relaxed, somewhat detached demeanor, suggesting a preference for low-key activities and a cautious approach to interactions. He appears to be a young adult involved in casual street activities. Note: Maccer is likely a small-time hustler or errand runner, operating within the city’s underbelly.|1
3|Male|White|Young|The subject wears a dark navy double-breasted blazer over a brightly colored, geometric striped shirt (red, yellow, green, and blue) and black trousers. He is wearing tan suede loafers.|Andre|The individual presents a somewhat reserved and observant demeanor, suggesting a background in business or perhaps a role requiring attention to detail. He appears to be a middle-aged man, possibly a businessman or a professional. Note: This character's role is 'Andre'.|13
4|Male|Black|Young|A worn, brown corduroy shirt layered over a faded, dark blue denim pair of baggy, flared jeans, and light tan suede sneakers. The overall appearance suggests a casual, street-wear style popular in 1992 Los Angeles.|Barry "Big Bear" Thorne [Thin]|Displays a relaxed, observant demeanor with a slight air of caution, potentially indicating a background involved in low-level street activity. He appears to be a young man comfortable in his surroundings, possibly involved in local hustles. Note: This character’s role is primarily as a street-level informant or lookout, likely operating within the Grove District.|1
5|Male|Black|Young|A worn, brown checked button-down shirt is layered over a pair of faded blue denim jeans and cream-colored slip-on shoes. The shirt appears slightly too small, suggesting a preference for comfort over style.|Barry "Big Bear" Thorne [Big]|Thorne exhibits a relaxed, almost lethargic demeanor, displaying a noticeable lack of ambition and a preference for simple pleasures. He possesses a quiet, observant nature, often absorbing surroundings rather than actively engaging. Note: Thorne’s size and demeanor suggest a background in low-level protection or intimidation, possibly associated with local gangs operating in the poorer districts of Los Santos.|0
6|Male|White|Young|A worn olive green military-style jacket over a plain white t-shirt and dark blue denim jeans, paired with tan canvas sneakers. The overall appearance suggests a practical, slightly rough-around-the-edges style common in 1992 Los Angeles.|Emmet|Appears observant and cautious, exhibiting a relaxed yet wary demeanor. This individual likely spends time in lower-income neighborhoods, possibly involved in small-time hustling or observation. Note: This character's role is 'Emmet'.|0
7|Male|Black|Young|Wears a light grey crew-neck sweatshirt, beige chinos, and white canvas sneakers. A faded denim jacket is slung over one shoulder, suggesting a practical and somewhat worn style typical of the early 90s.|Taxi Driver/Train Driver|Appears calm and observant, with a neutral expression. He possesses a quiet demeanor, likely prioritizing efficiency and avoiding unnecessary interaction. Note: This character’s role is "Taxi Driver/Train Driver".|17
8|Male|White|Old|Brown, heavy-duty overall jumpsuit with multiple pockets and a light grey crew neck undershirt.  Grey canvas sneakers complete the utilitarian appearance.|Janitor|Quiet, observant, and appears to maintain a low profile.  This individual likely performs routine maintenance tasks within a secure facility. Note:  This character’s role is primarily focused on upkeep and cleaning, suggesting a background in a controlled environment.|14
9|Female|Black|Old|Dark brown, single-breasted suit jacket with two buttons, matching trousers, and tan loafers. The overall appearance suggests a professional, conservatively dressed individual.|Office Clerk/Administrative Assistant|Appears reserved and attentive, likely focused on detail-oriented tasks and maintaining a quiet demeanor. This individual likely works in a corporate or government setting within Los Angeles, 1992.|5
10|Female|Black|Old|The individual wears a dark green, patterned button-down shirt under a red plaid blazer, paired with camouflage cargo pants and white sneakers. The overall appearance reflects a style common in the early 1990s.|Old Woman|Quiet, observant, and appears to be a local resident, possibly a retired seamstress or someone involved in community activities. Note: This character’s role is "Old Woman".|15
11|Female|Black|Young|A sharply tailored black suit with a crisp white dress shirt and a black bow tie, reflecting the style of a casino croupier. Black leather dress shoes complete the formal appearance.|Casino croupier|Quiet, observant, and meticulous, exhibiting a professional demeanor and a tendency towards discretion. This individual maintains a calm and controlled presence, typical of someone accustomed to managing high-stakes situations. Note: This character’s role is to ensure the smooth operation of the casino’s gaming tables, maintaining order and upholding the rules with a subtle yet firm authority.|15
12|Female|Black|Young|A sleek, black, form-fitting mini-dress with a subtle sweetheart neckline and delicate ankle-strap heels. She wears a thin gold bracelet on her left wrist.|Rich Woman|Appears confident and composed, exhibiting a detached, affluent demeanor. She carries herself with an air of subtle luxury and potential influence. Note: This character’s role is ‘Rich Woman’.|16
13|Female|Black|Young|A dark maroon long-sleeved t-shirt with a number “1” printed in white, paired with faded black baggy jeans and light grey sneakers. The overall appearance suggests a relaxed, casual style popular in the early 90s.|Street Girl|Appears nonchalant and observant, exhibiting a low-key attitude with minimal interaction. Likely involved in local street activity and possibly petty theft. Note: This character’s role is "Street Girl".|11
14|Male|Black|Old|White short-sleeved Hawaiian shirt with a vibrant, stylized depiction of marine life (sharks, dolphins, turtles) overlaid on a blue and red geometric pattern. He wears dark brown, straight-leg trousers and white canvas sneakers.|Unemployed, possibly a tourist or day laborer.|Appears relaxed and unassuming, with a slightly weathered appearance suggesting a life spent outdoors. He carries himself with a quiet demeanor, possibly indicating a history of drifting or a reluctance to engage with others.|7
15|Male|Black|Old|A worn, dark brown plaid flannel shirt over a plain white t-shirt, paired with faded dark blue denim jeans and tan sneakers. The overall appearance suggests a practical, working-class style common in 1992 Los Angeles.|Mr.Whittaker (RS Haul Owner)|Quiet, observant, and appears somewhat weathered, possibly a long-time resident of the area. He possesses a calm demeanor and a subtle air of authority, suggesting a man accustomed to handling transactions and overseeing operations. Note: This character’s role is primarily logistical support for the RS Haul, likely involved in transporting goods and managing deliveries within the city.|10
16|Male|Black|Young|Dark grey, long-sleeved Henley shirt worn over a black t-shirt, paired with faded dark blue denim jeans and black athletic sneakers. A high-visibility orange safety vest is worn over the Henley shirt.|Airport Ground Worker|Quiet and observant, exhibiting a cautious demeanor, likely accustomed to working in a high-traffic, potentially volatile environment. This individual appears to be a reliable, if somewhat reserved, worker focused on maintaining order and safety at the airport. Note: This character’s role is ‘Airport Ground Worker’.|0
17|Male|Black|Young|The character wears a dark grey, double-breasted suit with a light green dress shirt and a red tie. He is also wearing black leather Oxford shoes.|Businessman|The individual projects an air of quiet professionalism and authority, exhibiting a reserved demeanor. He appears focused and attentive, suggesting a meticulous and detail-oriented personality. Note: This character likely operates within the city’s financial sector, possibly involved in corporate dealings or legal services.|9
18|Male|Black|Young|Red watermelon-print swim shorts with green waistband and matching swim shorts. Bare-footed.|Beach Visitor|Muscular build, relaxed posture, and a slightly wary expression suggests a transient individual likely involved in petty activities around the beach. This character presents as a low-level hustler, possibly involved in small-time gambling or drug dealing. Note: This character's role is 'Beach Visitor'.|10
19|Male|Black|Young|Red baggy track pants and red sneakers, a gold wristwatch, and a simple gold chain. The outfit reflects a contemporary 1992 hip-hop style prevalent in Los Angeles.|DJ|Calm, observant, and possesses a relaxed demeanor, suggesting a comfortable familiarity with the local music scene. This individual likely spends his time at clubs and parties, maintaining a low profile. Note: This character’s role is ‘DJ’.|3
20|Male|Black|Young|A black, long-sleeved, button-down shirt with a yellow collar and cuffs, paired with dark grey, pleated trousers and polished brown leather loafers. A silver belt with a square buckle completes the outfit.|Rich Guy (Madd Dogg's Manager)|This individual projects an air of calculated confidence and subtle wealth, exhibiting a relaxed yet observant demeanor. He appears to be a man accustomed to luxury and dealing with high-stakes situations. Note: This character’s role is primarily as a facilitator and advisor within the criminal underworld, likely managing the affairs of a prominent figure like Madd Dogg.|8
21|Male|Black|Young|Dark blue and white striped short-sleeved shirt, black baggy shorts, white athletic sneakers, and light blue socks. A simple silver bracelet adorns his wrist.|Likely a low-level street hustler or small-time dealer.|Appears relaxed and observant, possibly involved in minor criminal activity within the city’s lower-income districts. He displays a cautious demeanor, suggesting a history of petty offenses and a reluctance to draw attention.|10
22|Male|Black|Young|Black hooded sweatshirt with orange and black stripes down the sleeves and a large number 2 on the front. He wears black baggy pants and light grey canvas sneakers.|Street Vendor/Small-Time Hustler|Appears to be a low-level dealer or someone involved in minor street commerce, exhibiting a relaxed and somewhat detached demeanor. He carries himself with a casual confidence, suggesting a familiarity with the city’s undercurrents.|9
23|Male|White|Young|The subject wears a grey long-sleeved shirt with a black skull graphic, layered over a white long-sleeved shirt, paired with baggy khaki-colored cargo pants and white Nike Air Jordan sneakers.|BMXer|The subject displays a relaxed, casual demeanor, typical of a young urban rider. He appears focused and potentially competitive, suggesting a dedication to his sport. Note: This character’s role is ‘BMXer’.|7
24|Male|Black|Young|Dark grey hooded sweatshirt, faded blue denim jeans, and white athletic sneakers. The sweatshirt features a black “Madd Dogg” script logo.|Madd Dogg Bodyguard|This individual presents a calm, observant demeanor, exhibiting a quiet confidence and a subtle air of protection. He appears to be a loyal and reliable individual, accustomed to a life of security and discretion. Note: This character’s role is ‘Madd Dogg Bodyguard’.|9
